DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Family size
COLOR	#000000

WIDTH	50
HEIGHT	50
MARGIN	1

DATA
Abditibacteriaceae	1.584962500721156
Abyssicoccaceae	1.0
Acanthopleuribacteraceae	3.169925001442312
Acaryochloridaceae	3.0
Acetivibrionaceae	4.247927513443585
Acetobacteraceae	8.807354922057604
Acetomicrobiaceae	1.584962500721156
Acetonemataceae	2.321928094887362
Acidaminobacteraceae	2.0
Acidaminococcaceae	4.459431618637297
Acidiferrobacteraceae	3.321928094887362
Acidilobaceae	1.0
Acidimicrobiaceae	4.321928094887363
Acidithiobacillaceae	4.857980995127572
Acidobacteriaceae	7.442943495848728
Acidocellaceae	5.584962500721156
Acidothermaceae	2.321928094887362
Actinomycetaceae	7.7073591320808825
Actinopolymorphaceae	3.584962500721156
Actinopolysporaceae	4.169925001442312
Actinospicaceae	3.169925001442312
Acutalibacteraceae	4.954196310386875
Aegicerorhabdaceae	2.0
Aerococcaceae	4.584962500721156
Aeromonadaceae	7.546894459887636
Aerosakkonemataceae	3.700439718141092
Aestuariirhabdaceae	2.807354922057604
Aestuariispiraceae	4.169925001442312
Aestuariivirgaceae	2.807354922057604
Afifellaceae	4.0
Aggregatilineaceae	2.321928094887362
Ahrensiaceae	4.754887502163468
Akkermansiaceae	4.392317422778761
Alcaligenaceae	9.688250309133178
Alcanivoracaceae	6.266786540694901
Algiphilaceae	2.807354922057604
Alicyclobacillaceae	7.1799090900149345
Aliterellaceae	1.584962500721156
Allobogoriellaceae	5.672425341971495
Alloboseaceae	7.442943495848728
Allomicrovenatoraceae	1.584962500721156
Allostellaceae	4.523561956057013
Alsobacteraceae	3.807354922057604
Alterococcaceae	1.584962500721156
Alteromonadaceae	8.774787059601174
Aminiphilaceae	2.0
Aminobacteriaceae	2.0
Amorphaceae	5.754887502163468
Anaerobacaceae	1.584962500721156
Anaerohalosphaeraceae	1.584962500721156
Anaerolineaceae	4.459431618637297
Anaeromyxobacteraceae	4.754887502163468
Anaeroplasmataceae	1.584962500721156
Anaerosomataceae	2.321928094887362
Anaerotignaceae	4.247927513443585
Anaerovoracaceae	5.321928094887363
Anaplasmataceae	5.584962500721156
Ancalomicrobiaceae	3.700439718141092
Anoxybacillaceae	6.066089190457772
Anthocerotibacteraceae	1.584962500721156
Antricoccaceae	1.584962500721156
Aphanizomenonaceae	4.857980995127572
Aphanothecaceae	4.169925001442312
Aquaspirillaceae	3.9068905956085187
Aquificaceae	4.247927513443585
Aquisediminimonadaceae	2.584962500721156
Archaeoglobaceae	3.4594316186372973
Archangiaceae	5.285402218862249
Arcobacteraceae	6.599912842187128
Ardenticatenaceae	2.321928094887362
Arenicellaceae	2.321928094887362
Aristaeellaceae	1.584962500721156
Atopobiaceae	6.247927513443585
Atrimonadaceae	1.584962500721156
Aurantibacillaceae	1.0
Aurantimonadaceae	7.800899899920305
Azonexaceae	6.129283016944966
Azospirillaceae	7.787902559391432
Bacillaceae	11.237807473723135
Bacteriovoracaceae	3.0
Bacteroidaceae	7.139551352398794
Baekduiaceae	3.4594316186372973
Balneatrichaceae	3.4594316186372973
Balneicellaceae	1.584962500721156
Balneolaceae	6.459431618637297
Barnesiellaceae	3.4594316186372973
Bartonellaceae	6.6293566200796095
Beduinellaceae	1.0
Beijerinckiaceae	5.392317422778761
Bernardetiaceae	3.169925001442312
Beutenbergiaceae	3.9068905956085187
Bifidobacteriaceae	7.900866807980749
Blastochloridaceae	2.584962500721156
Blastomonadaceae	3.169925001442312
Blattabacteriaceae	3.4594316186372973
Brachyspiraceae	4.754887502163468
Bradymonadaceae	2.321928094887362
Brevibacteriaceae	7.118941072723508
Breznakiellaceae	1.584962500721156
Brucellaceae	6.523561956057013
Bruguierivoracaceae	3.9068905956085187
Bryobacteraceae	2.321928094887362
Budviciaceae	4.857980995127572
Burkholderiaceae	11.228217442293435
Butyricicoccaceae	4.584962500721156
Caedimonadaceae	1.584962500721156
Calderihabitantaceae	1.0
Caldicellulosiruptoraceae	3.700439718141092
Caldicoprobacteraceae	2.584962500721156
Caldilineaceae	2.321928094887362
Calotrichaceae	4.754887502163468
Caminicellaceae	2.584962500721156
Campylobacteraceae	7.294620748891627
Candidatus Acidulidesulfobacteraceae	1.584962500721156
Candidatus Berkiellaceae	2.0
Candidatus Bipolaricaulaceae	1.584962500721156
Candidatus Brocadiaceae	2.807354922057604
Candidatus Chloroheliaceae	2.321928094887362
Candidatus Competibacteraceae	4.0
Candidatus Criblamydiaceae	1.584962500721156
Candidatus Desulfofervidaceae	1.584962500721156
Candidatus Hepatincolaceae	1.0
Candidatus Johnevansiaceae	2.321928094887362
Candidatus Levibacteraceae	2.321928094887362
Candidatus Lucifugimonadaceae	2.0
Candidatus Magnetaquicoccaceae	2.321928094887362
Candidatus Magnetobacteriaceae	1.584962500721156
Candidatus Manganitrophaceae	2.0
Candidatus Methanoperedentaceae	2.807354922057604
Candidatus Methylomirabilaceae	2.321928094887362
Candidatus Micrarchaeaceae	1.0
Candidatus Midichloriaceae	3.0
Candidatus Nanopelagicaceae	4.247927513443585
Candidatus Nitrosocaldaceae	1.584962500721156
Candidatus Njordibacteraceae	3.169925001442312
Candidatus Nucleicultricaceae	1.0
Candidatus Paracaedibacteraceae	2.0
Candidatus Pelagibacteraceae	6.768184324776926
Candidatus Persebacteraceae	1.584962500721156
Candidatus Promineifilaceae	2.0
Candidatus Pseudothioglobaceae	4.087462841250339
Candidatus Puniceispirillaceae	4.087462841250339
Candidatus Rhabdochlamydiaceae	2.0
Candidatus Scalinduaceae	2.0
Candidatus Seribacteraceae	1.0
Capillimicrobiaceae	2.321928094887362
Capsulimonadaceae	2.0
Carbonactinosporaceae	1.584962500721156
Cardiobacteriaceae	3.700439718141092
Carnobacteriaceae	4.857980995127572
Caryophanaceae	8.954196310386875
Caryophanales Family X. Incertae Sedis	3.0
Casimicrobiaceae	2.321928094887362
Catalimonadaceae	4.754887502163468
Catenulisporaceae	3.807354922057604
Caulobacteraceae	8.303780748177102
Celerinatantimonadaceae	3.321928094887362
Cellulomonadaceae	7.546894459887636
Cellulosilyticaceae	2.321928094887362
Cellvibrionaceae	7.098032082960526
Cerasicoccaceae	3.700439718141092
Cesiribacteraceae	3.0
Chamaesiphonaceae	1.584962500721156
Chelatococcaceae	5.392317422778761
Chitinibacteraceae	6.392317422778761
Chitinispirillaceae	2.321928094887362
Chitinivibrionaceae	2.0
Chitinophagaceae	9.355351096424812
Chlamydiaceae	1.0
Chloracidobacteriaceae	2.321928094887362
Chlorobiaceae	4.392317422778761
Chloroflexaceae	3.700439718141092
Chlorogloeopsidaceae	2.807354922057604
Christensenellaceae	4.087462841250339
Chromatiaceae	7.139551352398794
Chromobacteriaceae	6.491853096329675
Chroococcaceae	3.4594316186372973
Chroococcidiopsidaceae	2.321928094887362
Chryseotaleaceae	3.584962500721156
Chrysiogenaceae	1.584962500721156
Chthonomonadaceae	2.0
Clostridiaceae	8.741466986401146
Clostridiales Family XVI. Incertae Sedis	1.584962500721156
Clostridiales Family XVII. Incertae Sedis	3.584962500721156
Cohaesibacteraceae	3.807354922057604
Coleofasciculaceae	3.4594316186372973
Colwelliaceae	7.965784284662087
Comamonadaceae	10.787902559391432
Conexibacteraceae	4.523561956057013
Conexivisphaeraceae	2.0
Coprobacillaceae	5.044394119358453
Coraliomargaritaceae	3.169925001442312
Coralliovaceae	1.584962500721156
Coriobacteriaceae	6.894817763307944
Corynebacteriaceae	8.686500527183219
Coxiellaceae	4.392317422778761
Crenotrichaceae	2.0
Crocinitomicaceae	3.807354922057604
Cryomorphaceae	3.169925001442312
Cryptosporangiaceae	4.169925001442312
Cuniculiplasmataceae	1.0
Cyanothecaceae	1.584962500721156
Cyclobacteriaceae	8.149747119504681
Cyclonatronaceae	2.584962500721156
Cymatolegaceae	1.584962500721156
Cytophagaceae	6.539158811108031
Deferribacteraceae	1.584962500721156
Deferrisomataceae	2.0
Deferrivibrionaceae	1.584962500721156
Defluviitaleaceae	2.807354922057604
Dehalococcoidaceae	4.087462841250339
Deinococcaceae	7.7615512324444795
Demequinaceae	6.022367813028454
Dermabacteraceae	6.266786540694901
Dermacoccaceae	5.426264754702098
Dermatophilaceae	4.584962500721156
Desertifilaceae	3.169925001442312
Desulfallaceae	3.4594316186372973
Desulfarculaceae	2.0
Desulfatibacillaceae	2.321928094887362
Desulfatiglandaceae	1.584962500721156
Desulfatirhabdiaceae	1.584962500721156
Desulfitibacteraceae	2.321928094887362
Desulfitobacteriaceae	4.807354922057604
Desulfobacteraceae	3.584962500721156
Desulfobulbaceae	4.754887502163468
Desulfocapsaceae	4.247927513443585
Desulfococcaceae	3.169925001442312
Desulfohalobiaceae	2.321928094887362
Desulfomicrobiaceae	3.700439718141092
Desulfonatronaceae	3.169925001442312
Desulfonatronovibrionaceae	2.321928094887362
Desulfonauticaceae	2.321928094887362
Desulfoplanaceae	1.584962500721156
Desulforegulaceae	1.584962500721156
Desulfosarcinaceae	3.584962500721156
Desulfotomaculaceae	4.0
Desulfovibrionaceae	7.442943495848728
Desulfurellaceae	2.584962500721156
Desulfuribacillaceae	2.321928094887362
Desulfurisporaceae	1.584962500721156
Desulfurobacteriaceae	3.9068905956085187
Desulfurococcaceae	3.4594316186372973
Desulfuromonadaceae	4.459431618637297
Dethiobacteraceae	1.584962500721156
Dethiosulfovibrionaceae	2.321928094887362
Devosiaceae	7.483815777264256
Dictyobacteraceae	3.169925001442312
Dictyoglomaceae	2.321928094887362
Dietziaceae	5.523561956057013
Dissulfuribacteraceae	2.321928094887362
Dongiaceae	4.459431618637297
Dysgonomonadaceae	5.727920454563199
Echinimonadaceae	2.807354922057604
Ectothiorhodospiraceae	7.339850002884624
Eggerthellaceae	6.78135971352466
Egibacteraceae	2.321928094887362
Egicoccaceae	2.321928094887362
Elioraeaceae	4.700439718141092
Emcibacteraceae	3.807354922057604
Endomicrobiaceae	2.0
Endozoicomonadaceae	5.954196310386875
Enterobacteriaceae	9.124121311829187
Enterococcaceae	7.330916878114617
Entophysalidaceae	1.584962500721156
Erwiniaceae	8.807354922057604
Erysipelotrichaceae	6.044394119358453
Erythrobacteraceae	8.751544059089099
Eubacteriaceae	6.78135971352466
Euzebyaceae	2.584962500721156
Fastidiosibacteraceae	3.700439718141092
Ferrimonadaceae	5.643856189774724
Ferroplasmaceae	2.321928094887362
Ferrovaceae	3.4594316186372973
Fervidibacteraceae	1.584962500721156
Fibrobacteraceae	5.357552004618084
Fictibacillaceae	6.247927513443585
Fidelibacteraceae	1.584962500721156
Filifactoraceae	2.321928094887362
Fimbriimonadaceae	2.0
Flammeovirgaceae	5.554588851677638
Flavobacteriaceae	11.51668494930961
Flectobacillaceae	5.832890014164741
Flexibacteraceae	1.584962500721156
Fluviibacteraceae	1.584962500721156
Fontisphaeraceae	1.584962500721156
Fortieaceae	1.584962500721156
Francisellaceae	5.087462841250339
Frankiaceae	5.643856189774724
Fulvivirgaceae	5.584962500721156
Fusibacteraceae	3.4594316186372973
Fusobacteriaceae	3.9068905956085187
Futianiaceae	1.584962500721156
Gaiellaceae	2.0
Gallaecimonadaceae	3.700439718141092
Gallionellaceae	4.523561956057013
Gaopeijiaceae	2.584962500721156
Geitlerinemataceae	1.584962500721156
Geminicoccaceae	5.285402218862249
Geminocystaceae	4.247927513443585
Gemmataceae	5.554588851677638
Gemmatimonadaceae	3.4594316186372973
Geoalkalibacteraceae	2.807354922057604
Geobacteraceae	6.20945336562895
Geochordaceae	3.169925001442312
Geodermatophilaceae	7.714245517666122
Geopsychrobacteraceae	3.0
Geothermobacteraceae	2.321928094887362
Geovibrionaceae	3.169925001442312
Gloeobacteraceae	1.584962500721156
Gloeomargaritaceae	1.584962500721156
Glycomycetaceae	6.357552004618084
Gordoniaceae	7.294620748891627
Gottschalkiaceae	2.807354922057604
Govanellaceae	1.584962500721156
Granulosicoccaceae	3.584962500721156
Guptibacillaceae	4.584962500721156
Hafniaceae	3.9068905956085187
Hahellaceae	4.754887502163468
Haladaptataceae	5.491853096329675
Halalkalicoccaceae	2.0
Halanaerobiaceae	4.087462841250339
Halarsenatibacteraceae	1.584962500721156
Halieaceae	6.357552004618084
Haliovirgaceae	1.584962500721156
Haliscomenobacteraceae	3.807354922057604
Haloarculaceae	7.011227255423254
Halobacteriaceae	5.523561956057013
Halobacteriovoraceae	3.0
Halobacteroidaceae	4.643856189774724
Halococcaceae	5.087462841250339
Haloferacaceae	8.276124405274238
Halomonadaceae	9.489847960439297
Halorubellaceae	4.523561956057013
Halorutilaceae	1.584962500721156
Halothecacae	1.584962500721156
Halothiobacillaceae	2.807354922057604
Hapalosiphonaceae	3.9068905956085187
Helicobacteraceae	6.906890595608519
Heliobacteriaceae	3.169925001442312
Herpetosiphonaceae	2.321928094887362
Hippeaceae	2.807354922057604
Holophagaceae	6.087462841250339
Holosporaceae	1.0
Hoyosellaceae	3.807354922057604
Hydrococcaceae	2.0
Hydrogenimonadaceae	3.169925001442312
Hydrogenophilaceae	3.4594316186372973
Hydrogenothermaceae	4.087462841250339
Hymenobacteraceae	9.129283016944967
Hyphomicrobiaceae	5.614709844115208
Hyphomonadaceae	5.672425341971495
Iamiaceae	4.169925001442312
Ichthyobacteriaceae	1.0
Idiomarinaceae	6.6293566200796095
Ignatzschineriaceae	4.321928094887363
Ilumatobacteraceae	2.584962500721156
Immundisolibacteraceae	1.584962500721156
Intestinicryptomonadaceae	1.584962500721156
Intrasporangiaceae	7.864186144654281
Iodidimonadaceae	2.584962500721156
Isosphaeraceae	5.087462841250339
Jatrophihabitantaceae	3.4594316186372973
Jiangellaceae	5.491853096329675
Jonesiaceae	3.169925001442312
Kaistiaceae	4.807354922057604
Kallotenuaceae	2.321928094887362
Kangiellaceae	4.523561956057013
Ketobacteraceae	2.807354922057604
Kiloniellaceae	4.392317422778761
Kineosporiaceae	5.882643049361842
Kiritimatiellaceae	1.584962500721156
Koleobacteraceae	1.584962500721156
Kolteriaceae	2.0
Kordiimonadaceae	4.754887502163468
Kosmotogaceae	2.0
Kribbellaceae	7.383704292474052
Kribbibacteriaceae	2.321928094887362
Kytococcaceae	2.584962500721156
Lachnospiraceae	9.579315937580015
Lacipirellulaceae	5.285402218862249
Lactobacillaceae	7.149747119504682
Laspinemataceae	3.4594316186372973
Lawsonellaceae	1.584962500721156
Leadbetterellaceae	5.491853096329675
Leeiaceae	2.807354922057604
Legionellaceae	6.845490050944375
Lentimicrobiaceae	2.321928094887362
Lentisphaeraceae	2.321928094887362
Leptolyngbyaceae	5.584962500721156
Leptospiraceae	7.118941072723508
Leptotrichiaceae	5.087462841250339
Lewinellaceae	5.357552004618084
Lichenihabitantaceae	4.169925001442312
Limisphaeraceae	1.584962500721156
Limnochordaceae	2.0
Listeriaceae	5.491853096329675
Litorivicinaceae	2.321928094887362
Lujinxingiaceae	2.807354922057604
Luteibaculaceae	1.0
Lutisporaceae	1.0
Lysobacteraceae	9.935165049603695
Magnetococcaceae	2.807354922057604
Magnetospirillaceae	3.4594316186372973
Magnetovibrionaceae	2.807354922057604
Maliibacteriaceae	1.0
Mangrovivirgaceae	2.807354922057604
Maricaulaceae	5.700439718141092
Marinicellaceae	4.392317422778761
Marinifilaceae	5.247927513443585
Marinilabiliaceae	5.906890595608519
Marinobacteraceae	8.31741261376487
Mariprofundaceae	4.087462841250339
Marivirgaceae	4.392317422778761
Melioribacteraceae	2.807354922057604
Merismopediaceae	2.321928094887362
Methanobacteriaceae	6.459431618637297
Methanocalculaceae	3.169925001442312
Methanocaldococcaceae	2.807354922057604
Methanocellaceae	2.0
Methanococcaceae	3.321928094887362
Methanocorpusculaceae	3.169925001442312
Methanomassiliicoccaceae	3.169925001442312
Methanomethylophilaceae	1.584962500721156
Methanomicrobiaceae	5.727920454563199
Methanonatronarchaeaceae	2.807354922057604
Methanopyraceae	2.321928094887362
Methanoregulaceae	2.321928094887362
Methanosarcinaceae	7.022367813028454
Methanospirillaceae	2.807354922057604
Methanotrichaceae	3.321928094887362
Methermicoccaceae	2.0
Methylacidiphilaceae	3.169925001442312
Methylobacteriaceae	9.13699111208023
Methylococcaceae	7.426264754702098
Methylocystaceae	5.20945336562895
Methylohalomonadaceae	2.0
Methylophilaceae	6.459431618637297
Methylopilaceae	4.954196310386875
Methylothermaceae	2.584962500721156
Microbacteriaceae	10.932952892194715
Microbulbiferaceae	6.554588851677638
Micrococcaceae	10.544964432789238
Microcoleaceae	7.0
Microcystaceae	4.807354922057604
Micromonosporaceae	9.945443836377912
