DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Class size
COLOR	#000000

WIDTH	50
HEIGHT	50
MARGIN	1

DATA
Abditibacteriia	1.0056922723091077
Acidimicrobiia	1.2390754369825208
Acidithiobacillia	1.1764604415823368
Actinomycetes	100.0
Alphaproteobacteria	73.78139374425024
Anaerolineae	1.2276908923643055
Aquificia	1.2675367985280588
Archaeoglobi	1.0512304507819688
Ardenticatenia	1.0341536338546458
Armatimonadia	1.0113845446182153
Atribacteria	1.017076816927323
Bacilli	33.18410763569457
Bacteriovoracia	1.0739995400183993
Bacteroidia	4.529208831646734
Balneolia	1.5350735970561176
Bdellovibrionia	1.233383164673413
Betaproteobacteria	44.13034728610855
Blastocatellia	1.0398459061637535
Caldilineae	1.017076816927323
Calditrichia	1.0113845446182153
Candidatius Mariprofundia	1.0967686292548298
Candidatus Bipolaricaulia	1.0056922723091077
Candidatus Brocadiia	1.045538178472861
Candidatus Desulfofervidia	1.0056922723091077
Candidatus Methylomirabilia	1.017076816927323
Candidatus Micrarchaeia	1.0
Chitinispirillia	1.017076816927323
Chitinivibrionia	1.0113845446182153
Chitinophagia	4.717053817847287
Chlamydiia	1.0683072677092915
Chlorobiia	1.108153173873045
Chloroflexia	1.2447677092916283
Chrysiogenia	1.0056922723091077
Chthonomonadia	1.0113845446182153
Clostridia	14.206071757129715
Conexivisphaeria	1.0113845446182153
Coriobacteriia	2.775988960441582
Cyanophyceae	7.0110395584176635
Cytophagia	9.675022999080037
Deferribacteres	1.0739995400183993
Deferrisomatia	1.0113845446182153
Dehalococcoidia	1.1024609015639375
Deinococci	2.6564512419503217
Deltaproteobacteria	1.1593836246550138
Desulfarculia	1.0113845446182153
Desulfobacteria	1.2219986200551978
Desulfobulbia	1.2561522539098435
Desulfovibrionia	2.172608095676173
Desulfurellia	1.0569227230910763
Desulfuribacillia	1.017076816927323
Desulfuromonadia	1.6659958601655935
Dethiobacteria	1.0056922723091077
Dictyoglomia	1.017076816927323
Dissulfuribacteria	1.017076816927323
Endomicrobiia	1.0284613615455382
Epsilonproteobacteria	3.6981370745170192
Erysipelotrichia	1.5806117755289788
Fervidibacteria	1.0056922723091077
Fibrobacteria	1.2219986200551978
Fidelibacteria	1.0056922723091077
Fimbriimonadia	1.017076816927323
Flavobacteriia	20.47895584176633
Fusobacteriia	1.2732290708371665
Gammaproteobacteria	70.79864305427783
Gemmatimonadia	1.0512304507819688
Halobacteria	5.656278748850046
Holophagae	1.4326126954921803
Hydrogenophilia	1.0739995400183993
Ignavibacteria	1.0398459061637535
Kiritimatiellia	1.108153173873045
Ktedonobacteria	1.062614995400184
Lentisphaeria	1.017076816927323
Leptospiria	1.779841306347746
Limnochordia	1.0569227230910763
Longimicrobiia	1.0227690892364305
Magnetococcia	1.0512304507819688
Methanobacteria	1.4895354185832566
Methanococci	1.1024609015639375
Methanomicrobia	2.2921458141674336
Methanonatronarchaeia	1.0284613615455382
Methanopyri	1.017076816927323
Methylacidiphilae	1.0398459061637535
Mollicutes	1.0056922723091077
Myxococcia	1.8936867525298988
Negativicutes	1.8139949402023918
Nitriliruptoria	1.1024609015639375
Nitrososphaeria	1.2219986200551978
Nitrospinia	1.017076816927323
Nitrospiria	1.2390754369825208
Oligoflexia	1.079691812327507
Oligosphaeria	1.0113845446182153
Opitutia	1.500919963201472
Phycisphaerae	1.142306807727691
Planctomycetia	3.0093721251149956
Rhodothermia	1.2732290708371665
Rubrobacteria	1.1309222631094755
Saprospiria	1.341536338546458
Spartobacteria	1.017076816927323
Sphingobacteriia	5.872585096596136
Spirochaetia	1.5692272309107635
Synergistia	1.125229990800368
Syntrophia	1.017076816927323
Syntrophobacteria	1.1138454461821528
Tardisphaeria	1.0
Tepidiformia	1.0398459061637535
Terriglobia	2.047378104875805
Terrimicrobiia	1.0056922723091077
Thermoanaerobaculia	1.0
Thermococci	1.045538178472861
Thermodesulfobacteria	1.108153173873045
Thermodesulfobiia	1.017076816927323
Thermodesulfovibrionia	1.0739995400183993
Thermoflexia	1.0113845446182153
Thermoleophilia	1.5236890524379025
Thermomicrobia	1.0284613615455382
Thermoplasmata	1.1935372585096595
Thermoprotei	1.466766329346826
Thermosulfidibacteria	1.0056922723091077
Thermotogae	1.1593836246550138
Tichowtungiia	1.0113845446182153
Tissierellia	1.4553817847286108
Verrucomicrobiia	1.6204576816927323
Vicinamibacteria	1.0398459061637535
