DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Class size
COLOR	#000000

WIDTH	50
HEIGHT	50
MARGIN	1

DATA
Abditibacteriia	1
Acidimicrobiia	22
Acidithiobacillia	16
Actinomycetes	7316
Alphaproteobacteria	4935
Anaerolineae	20
Aquificia	24
Archaeoglobi	10
Ardenticatenia	3
Armatimonadia	1
Atribacteria	2
Bacilli	2250
Bacteriovoracia	14
Bacteroidia	266
Balneolia	72
Bdellovibrionia	40
Betaproteobacteria	3097
Blastocatellia	6
Caldilineae	2
Calditrichia	2
Candidatius Mariprofundia	11
Candidatus Bipolaricaulia	2
Candidatus Brocadiia	5
Candidatus Methylomirabilia	2
Candidatus Micrarchaeia	1
Chitinispirillia	2
Chitinivibrionia	2
Chitinophagia	392
Chlamydiia	13
Chlorobiia	10
Chloroflexia	15
Chrysiogenia	1
Chthonomonadia	2
Clostridia	1085
Conexivisphaeria	1
Coriobacteriia	197
Cyanophyceae	494
Cytophagia	1030
Deferribacteres	7
Deferrisomatia	2
Dehalococcoidia	9
Deinococci	140
Deltaproteobacteria	21
Desulfarculia	1
Desulfobacteria	17
Desulfobulbia	21
Desulfovibrionia	99
Desulfurellia	5
Desulfuribacillia	2
Desulfuromonadia	58
Dethiobacteria	1
Dictyoglomia	2
Dissulfuribacteria	2
Endomicrobiia	1
Epsilonproteobacteria	247
Erysipelotrichia	58
Fervidibacteria	1
Fibrobacteria	20
Fimbriimonadia	3
Flavobacteriia	1681
Fusobacteriia	19
Gammaproteobacteria	6575
Gemmatimonadia	10
Halobacteria	368
Holophagae	34
Hydrogenophilia	7
Ignavibacteria	6
Kiritimatiellia	13
Ktedonobacteria	6
Lentisphaeria	2
Leptospiria	86
Limnochordia	3
Longimicrobiia	2
Magnetococcia	5
Methanobacteria	61
Methanococci	18
Methanomicrobia	20
Methanonatronarchaeia	3
Methanopyri	2
Methylacidiphilae	4
Mollicutes	1
Myxococcia	127
Negativicutes	22
Nitriliruptoria	9
Nitrososphaeria	7
Nitrospinia	2
Nitrospiria	25
Oligoflexia	9
Oligosphaeria	1
Opitutia	41
Phycisphaerae	17
Planctomycetia	159
Rhodothermia	39
Rubrobacteria	7
Saprospiria	34
Spartobacteria	2
Sphingobacteriia	501
Spirochaetia	53
Synergistia	7
Syntrophia	2
Syntrophobacteria	10
Tardisphaeria	1
Tepidiformia	4
Terriglobia	104
Terrimicrobiia	1
Thermoanaerobaculia	1
Thermococci	2
Thermodesulfobacteria	10
Thermodesulfobiia	2
Thermodesulfovibrionia	7
Thermoflexia	1
Thermoleophilia	29
Thermomicrobia	2
Thermoplasmata	7
Thermoprotei	51
Thermosulfidibacteria	1
Thermotogae	17
Tichowtungiia	1
Tissierellia	49
Verrucomicrobiia	54
Vicinamibacteria	5
