DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Architecture composition
COLOR	#ff0000

FIELD_LABELS	both	dimeric	monomeric
FIELD_COLORS	#4daf4a	#377eb8	#e41a1c

WIDTH	50
HEIGHT	10
MARGIN	1

DATA
Abditibacteriaceae	0.0	1.0	0.0
Abyssicoccaceae	0.0	1.0	0.0
Acanthopleuribacteraceae	0.0	1.0	0.0
Acaryochloridaceae	1.0	0.0	0.0
Acetivibrionaceae	0.0	1.0	0.0
Acetobacteraceae	0.042505592841163314	0.9574944071588367	0.0
Acetomicrobiaceae	0.0	1.0	0.0
Acetonemataceae	0.0	1.0	0.0
Acidaminobacteraceae	0.0	1.0	0.0
Acidaminococcaceae	0.0	1.0	0.0
Acidiferrobacteraceae	0.0	1.0	0.0
Acidilobaceae	0.0	1.0	0.0
Acidimicrobiaceae	0.15789473684210525	0.8421052631578947	0.0
Acidithiobacillaceae	0.0	1.0	0.0
Acidobacteriaceae	0.07514450867052024	0.9248554913294798	0.0
Acidocellaceae	0.0	1.0	0.0
Acidothermaceae	0.0	1.0	0.0
Actinomycetaceae	0.5240384615384616	0.4375	0.038461538461538464
Actinopolymorphaceae	0.0	1.0	0.0
Actinopolysporaceae	0.0	1.0	0.0
Actinospicaceae	0.75	0.25	0.0
Acutalibacteraceae	0.0	1.0	0.0
Aegicerorhabdaceae	1.0	0.0	0.0
Aerococcaceae	0.0	1.0	0.0
Aeromonadaceae	0.46236559139784944	0.5376344086021505	0.0
Aerosakkonemataceae	0.0	1.0	0.0
Aestuariirhabdaceae	1.0	0.0	0.0
Aestuariispiraceae	0.0	1.0	0.0
Aestuariivirgaceae	0.0	1.0	0.0
Afifellaceae	0.0	1.0	0.0
Aggregatilineaceae	0.0	1.0	0.0
Ahrensiaceae	0.0	1.0	0.0
Akkermansiaceae	0.1	0.9	0.0
Alcaligenaceae	0.6881067961165048	0.3118932038834951	0.0
Alcanivoracaceae	0.5	0.5	0.0
Algiphilaceae	0.5	0.5	0.0
Alicyclobacillaceae	0.034722222222222224	0.9652777777777778	0.0
Aliterellaceae	0.0	1.0	0.0
Allobogoriellaceae	0.18	0.82	0.0
Alloboseaceae	0.0	1.0	0.0
Allomicrovenatoraceae	1.0	0.0	0.0
Allostellaceae	0.0	1.0	0.0
Alsobacteraceae	0.0	1.0	0.0
Alterococcaceae	1.0	0.0	0.0
Alteromonadaceae	0.954233409610984	0.043478260869565216	0.002288329519450801
Aminiphilaceae	0.0	1.0	0.0
Aminobacteriaceae	0.0	1.0	0.0
Amorphaceae	0.0	1.0	0.0
Anaerobacaceae	0.0	1.0	0.0
Anaerohalosphaeraceae	1.0	0.0	0.0
Anaerolineaceae	0.0	1.0	0.0
Anaeromyxobacteraceae	1.0	0.0	0.0
Anaeroplasmataceae	0.0	1.0	0.0
Anaerosomataceae	0.0	1.0	0.0
Anaerotignaceae	0.0	1.0	0.0
Anaerovoracaceae	0.0	1.0	0.0
Anaplasmataceae	0.0425531914893617	0.9574468085106383	0.0
Ancalomicrobiaceae	0.0	1.0	0.0
Anoxybacillaceae	0.0	1.0	0.0
Anthocerotibacteraceae	0.0	1.0	0.0
Antricoccaceae	1.0	0.0	0.0
Aphanizomenonaceae	0.0	1.0	0.0
Aphanothecaceae	0.0	1.0	0.0
Aquaspirillaceae	0.0	1.0	0.0
Aquificaceae	0.0	1.0	0.0
Aquisediminimonadaceae	0.0	1.0	0.0
Archaeoglobaceae	0.0	1.0	0.0
Archangiaceae	0.0	1.0	0.0
Arcobacteraceae	1.0	0.0	0.0
Ardenticatenaceae	0.0	1.0	0.0
Arenicellaceae	1.0	0.0	0.0
Aristaeellaceae	0.0	1.0	0.0
Atopobiaceae	0.0	1.0	0.0
Atrimonadaceae	0.0	1.0	0.0
Aurantibacillaceae	0.0	1.0	0.0
Aurantimonadaceae	0.0	1.0	0.0
Azonexaceae	1.0	0.0	0.0
Azospirillaceae	0.01818181818181818	0.9818181818181818	0.0
Bacillaceae	0.007870753935376968	0.992129246064623	0.0
Bacteriovoracaceae	0.0	0.5714285714285714	0.42857142857142855
Bacteroidaceae	0.0	1.0	0.0
Baekduiaceae	0.7	0.3	0.0
Balneatrichaceae	0.2	0.8	0.0
Balneicellaceae	1.0	0.0	0.0
Balneolaceae	0.3563218390804598	0.6436781609195402	0.0
Barnesiellaceae	0.0	1.0	0.0
Bartonellaceae	0.02040816326530612	0.9795918367346939	0.0
Beduinellaceae	0.0	1.0	0.0
Beijerinckiaceae	0.0	1.0	0.0
Bernardetiaceae	0.0	1.0	0.0
Beutenbergiaceae	0.5714285714285714	0.42857142857142855	0.0
Bifidobacteriaceae	0.0	1.0	0.0
Blastochloridaceae	0.6	0.4	0.0
Blastomonadaceae	0.0	1.0	0.0
Blattabacteriaceae	0.0	1.0	0.0
Brachyspiraceae	0.0	1.0	0.0
Bradymonadaceae	0.0	0.75	0.25
Brevibacteriaceae	0.9855072463768116	0.014492753623188406	0.0
Breznakiellaceae	0.0	1.0	0.0
Brucellaceae	0.0	1.0	0.0
Bruguierivoracaceae	0.8571428571428571	0.14285714285714285	0.0
Bryobacteraceae	0.0	1.0	0.0
Budviciaceae	0.0	1.0	0.0
Burkholderiaceae	0.8861551292743953	0.11384487072560467	0.0
Butyricicoccaceae	0.0	1.0	0.0
Caedimonadaceae	0.0	1.0	0.0
Calderihabitantaceae	0.0	1.0	0.0
Caldicellulosiruptoraceae	0.0	1.0	0.0
Caldicoprobacteraceae	0.0	1.0	0.0
Caldilineaceae	0.0	1.0	0.0
Calotrichaceae	0.0	1.0	0.0
Caminicellaceae	0.0	1.0	0.0
Campylobacteraceae	0.9615384615384616	0.00641025641025641	0.03205128205128205
Candidatus Acidulidesulfobacteraceae	0.0	1.0	0.0
Candidatus Berkiellaceae	0.0	1.0	0.0
Candidatus Bipolaricaulaceae	0.0	1.0	0.0
Candidatus Brocadiaceae	0.0	1.0	0.0
Candidatus Chloroheliaceae	0.0	1.0	0.0
Candidatus Competibacteraceae	0.0	1.0	0.0
Candidatus Criblamydiaceae	0.0	1.0	0.0
Candidatus Desulfofervidaceae	0.0	1.0	0.0
Candidatus Hepatincolaceae	0.0	1.0	0.0
Candidatus Johnevansiaceae	0.0	1.0	0.0
Candidatus Levibacteraceae	0.0	1.0	0.0
Candidatus Lucifugimonadaceae	1.0	0.0	0.0
Candidatus Magnetaquicoccaceae	1.0	0.0	0.0
Candidatus Magnetobacteriaceae	0.0	1.0	0.0
Candidatus Manganitrophaceae	1.0	0.0	0.0
Candidatus Methanoperedentaceae	0.0	1.0	0.0
Candidatus Methylomirabilaceae	0.0	1.0	0.0
Candidatus Micrarchaeaceae	0.0	1.0	0.0
Candidatus Midichloriaceae	0.0	1.0	0.0
Candidatus Nanopelagicaceae	0.0	1.0	0.0
Candidatus Nitrosocaldaceae	0.0	1.0	0.0
Candidatus Njordibacteraceae	0.0	1.0	0.0
Candidatus Nucleicultricaceae	0.0	1.0	0.0
Candidatus Paracaedibacteraceae	0.0	1.0	0.0
Candidatus Pelagibacteraceae	0.0	1.0	0.0
Candidatus Persebacteraceae	0.0	1.0	0.0
Candidatus Promineifilaceae	0.0	1.0	0.0
Candidatus Pseudothioglobaceae	0.0	1.0	0.0
Candidatus Puniceispirillaceae	0.6875	0.3125	0.0
Candidatus Rhabdochlamydiaceae	0.0	1.0	0.0
Candidatus Scalinduaceae	1.0	0.0	0.0
Candidatus Seribacteraceae	0.0	1.0	0.0
Capillimicrobiaceae	0.0	1.0	0.0
Capsulimonadaceae	0.0	1.0	0.0
Carbonactinosporaceae	0.0	1.0	0.0
Cardiobacteriaceae	0.6666666666666666	0.3333333333333333	0.0
Carnobacteriaceae	0.0	1.0	0.0
Caryophanaceae	0.01616161616161616	0.9838383838383838	0.0
Caryophanales Family X. Incertae Sedis	0.0	1.0	0.0
Casimicrobiaceae	1.0	0.0	0.0
Catalimonadaceae	0.0	1.0	0.0
Catenulisporaceae	0.0	1.0	0.0
Caulobacteraceae	0.0	1.0	0.0
Celerinatantimonadaceae	0.0	1.0	0.0
Cellulomonadaceae	0.06451612903225806	0.9354838709677419	0.0
Cellulosilyticaceae	0.0	1.0	0.0
Cellvibrionaceae	0.9411764705882353	0.058823529411764705	0.0
Cerasicoccaceae	0.8333333333333334	0.16666666666666666	0.0
Cesiribacteraceae	1.0	0.0	0.0
Chamaesiphonaceae	1.0	0.0	0.0
Chelatococcaceae	0.0	1.0	0.0
Chitinibacteraceae	0.0	1.0	0.0
Chitinispirillaceae	0.0	1.0	0.0
Chitinivibrionaceae	0.0	1.0	0.0
Chitinophagaceae	0.016819571865443424	0.9831804281345565	0.0
Chlamydiaceae	0.0	1.0	0.0
Chloracidobacteriaceae	0.0	1.0	0.0
Chlorobiaceae	1.0	0.0	0.0
Chloroflexaceae	0.0	1.0	0.0
Chlorogloeopsidaceae	0.0	1.0	0.0
Christensenellaceae	0.0	1.0	0.0
Chromatiaceae	0.6357142857142857	0.36428571428571427	0.0
Chromobacteriaceae	0.8764044943820225	0.12359550561797752	0.0
Chroococcaceae	0.0	1.0	0.0
Chroococcidiopsidaceae	0.0	1.0	0.0
Chryseotaleaceae	0.0	1.0	0.0
Chrysiogenaceae	1.0	0.0	0.0
Chthonomonadaceae	0.0	1.0	0.0
Clostridiaceae	0.00936768149882904	0.990632318501171	0.0
Clostridiales Family XVI. Incertae Sedis	0.0	1.0	0.0
Clostridiales Family XVII. Incertae Sedis	0.0	1.0	0.0
Cohaesibacteraceae	1.0	0.0	0.0
Coleofasciculaceae	0.0	1.0	0.0
Colwelliaceae	1.0	0.0	0.0
Comamonadaceae	0.8517260894170912	0.1482739105829089	0.0
Conexibacteraceae	0.5909090909090909	0.4090909090909091	0.0
Conexivisphaeraceae	0.0	1.0	0.0
Coprobacillaceae	0.0	1.0	0.0
Coraliomargaritaceae	1.0	0.0	0.0
Coralliovaceae	0.0	1.0	0.0
Coriobacteriaceae	0.0	1.0	0.0
Corynebacteriaceae	0.9975669099756691	0.0	0.0024330900243309003
Coxiellaceae	0.0	1.0	0.0
Crenotrichaceae	0.0	1.0	0.0
Crocinitomicaceae	0.3076923076923077	0.0	0.6923076923076923
Cryomorphaceae	0.75	0.25	0.0
Cryptosporangiaceae	1.0	0.0	0.0
Cuniculiplasmataceae	0.0	1.0	0.0
Cyanothecaceae	0.0	1.0	0.0
Cyclobacteriaceae	1.0	0.0	0.0
Cyclonatronaceae	0.4	0.6	0.0
Cymatolegaceae	1.0	0.0	0.0
Cytophagaceae	0.10869565217391304	0.8913043478260869	0.0
Deferribacteraceae	1.0	0.0	0.0
Deferrisomataceae	0.0	1.0	0.0
Deferrivibrionaceae	1.0	0.0	0.0
Defluviitaleaceae	0.0	1.0	0.0
Dehalococcoidaceae	0.0	1.0	0.0
Deinococcaceae	0.0	1.0	0.0
Demequinaceae	0.0	1.0	0.0
Dermabacteraceae	0.9736842105263158	0.0	0.02631578947368421
Dermacoccaceae	0.0	1.0	0.0
Dermatophilaceae	0.8260869565217391	0.08695652173913043	0.08695652173913043
Desertifilaceae	0.0	1.0	0.0
Desulfallaceae	0.0	1.0	0.0
Desulfarculaceae	0.0	1.0	0.0
Desulfatibacillaceae	0.0	1.0	0.0
Desulfatiglandaceae	0.0	1.0	0.0
Desulfatirhabdiaceae	0.0	1.0	0.0
Desulfitibacteraceae	0.0	1.0	0.0
Desulfitobacteriaceae	0.0	1.0	0.0
