DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Habitat composition
COLOR	#00aa00

FIELD_LABELS	animal	aquatic	soil	unknown
FIELD_COLORS	#d73027	#1b9e77	#8c510a	#969696

WIDTH	50
HEIGHT	10
MARGIN	5

DATA
Abditibacteriaceae	0.0	0.0	0.0	1.0
Abyssicoccaceae	1.0	0.0	0.0	0.0
Acanthopleuribacteraceae	0.0	0.5	0.0	0.5
Acaryochloridaceae	0.0	0.0	0.0	1.0
Acetivibrionaceae	0.0	0.16666666666666666	0.4444444444444444	0.3888888888888889
Acetobacteraceae	0.43847874720357943	0.058165548098434	0.11409395973154363	0.38926174496644295
Acetomicrobiaceae	0.0	1.0	0.0	0.0
Acetonemataceae	0.5	0.0	0.0	0.5
Acidaminobacteraceae	0.0	1.0	0.0	0.0
Acidaminococcaceae	0.19047619047619047	0.047619047619047616	0.0	0.7619047619047619
Acidiferrobacteraceae	0.0	0.2222222222222222	0.3333333333333333	0.4444444444444444
Acidilobaceae	0.0	0.0	0.0	1.0
Acidimicrobiaceae	0.21052631578947367	0.3157894736842105	0.15789473684210525	0.3157894736842105
Acidithiobacillaceae	0.0	0.35714285714285715	0.0	0.6428571428571429
Acidobacteriaceae	0.023121387283236993	0.0	0.21965317919075145	0.7572254335260116
Acidocellaceae	0.0	0.19148936170212766	0.2127659574468085	0.5957446808510638
Acidothermaceae	0.0	0.0	0.5	0.5
Actinomycetaceae	0.33653846153846156	0.0	0.0	0.6634615384615384
Actinopolymorphaceae	0.0	0.0	0.45454545454545453	0.5454545454545454
Actinopolysporaceae	0.5294117647058824	0.11764705882352941	0.0	0.35294117647058826
Actinospicaceae	0.0	0.0	0.75	0.25
Acutalibacteraceae	0.23333333333333334	0.13333333333333333	0.0	0.6333333333333333
Aegicerorhabdaceae	0.0	0.0	0.0	1.0
Aerococcaceae	0.4782608695652174	0.0	0.0	0.5217391304347826
Aeromonadaceae	0.13978494623655913	0.45161290322580644	0.0	0.40860215053763443
Aerosakkonemataceae	0.0	0.0	0.0	1.0
Aestuariirhabdaceae	0.0	0.5	0.0	0.5
Aestuariispiraceae	0.0	0.11764705882352941	0.0	0.8823529411764706
Aestuariivirgaceae	0.0	0.0	0.0	1.0
Afifellaceae	0.0	0.0	0.6666666666666666	0.3333333333333333
Aggregatilineaceae	0.0	0.0	0.0	1.0
Ahrensiaceae	0.0	0.8461538461538461	0.0	0.15384615384615385
