DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Kingdom composition (Class level)
COLOR	#0000ff

FIELD_LABELS	Bacillati	Fusobacteriati	Methanobacteriati	Nanobdellati	Pseudomonadati	Thermoproteati	Thermotogati	unknown
FIELD_COLORS	#636EFA	#EF553B	#00CC96	#AB63FA	#FFA15A	#19D3F3	#FF6692	#B6E880

WIDTH	50
HEIGHT	10
MARGIN	1

DATA
Abditibacteriia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Acidimicrobiia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Actinomycetes	0.9959178980049446	0.0	0.0	0.0	0.0	0.0	0.0	0.004082101995055482
Alphaproteobacteria	0.0	0.0	0.0	0.0	0.9978884804879956	0.0	0.0	0.0021115195120043795
Anaerolineae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquificia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Archaeoglobi	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Ardenticatenia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Armatimonadia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atribacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacilli	0.9962864721485412	0.0	0.0	0.0	0.0	0.0	0.0	0.003713527851458886
Bacteriovoracia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteroidia	0.0	0.0	0.0	0.0	0.9887278582930756	0.0	0.0	0.011272141706924315
Balneolia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bdellovibrionia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Betaproteobacteria	0.0	0.0	0.0	0.0	0.9965690155713909	0.0	0.0	0.003430984428609132
Blastocatellia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Caldilineae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calditrichia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Candidatius Mariprofundia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Candidatus Bipolaricaulia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Candidatus Brocadiia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Candidatus Desulfofervidia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Candidatus Methylomirabilia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Candidatus Micrarchaeia	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Chitinispirillia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Chitinivibrionia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Chitinophagia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Chlamydiia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Chlorobiia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Chloroflexia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrysiogenia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Chthonomonadia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia	0.997414907367514	0.0	0.0	0.0	0.0	0.0	0.0	0.0025850926324859974
Conexivisphaeria	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Coriobacteriia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyanophyceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytophagia	0.0	0.0	0.0	0.0	0.9927868852459016	0.0	0.0	0.007213114754098361
Deferribacteres	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Deferrisomatia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Dehalococcoidia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococci	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Deltaproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Desulfarculia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Desulfobacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Desulfobulbia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Desulfovibrionia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Desulfurellia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Desulfuribacillia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfuromonadia	0.0	0.0	0.0	0.0	0.9491525423728814	0.0	0.0	0.05084745762711865
Dethiobacteria	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dictyoglomia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Dissulfuribacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Endomicrobiia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Epsilonproteobacteria	0.0	0.0	0.0	0.0	0.9957894736842106	0.0	0.0	0.004210526315789474
Erysipelotrichia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fervidibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Fibrobacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Fidelibacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Fimbriimonadia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavobacteriia	0.0	0.0	0.0	0.0	0.9962021618463336	0.0	0.0	0.0037978381536663743
Fusobacteriia	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Gammaproteobacteria	0.0	0.0	0.0	0.0	0.9944548642257196	0.0	0.0	0.005545135774280356
Gemmatimonadia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Halobacteria	0.0	0.0	0.9865689865689866	0.0	0.0	0.0	0.0	0.013431013431013432
Holophagae	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Hydrogenophilia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Ignavibacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Kiritimatiellia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Ktedonobacteria	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lentisphaeria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Leptospiria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Limnochordia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Longimicrobiia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Magnetococcia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Methanobacteria	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Methanococci	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Methanomicrobia	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Methanonatronarchaeia	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Methanopyri	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Methylacidiphilae	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mollicutes	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Myxococcia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Negativicutes	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nitriliruptoria	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nitrososphaeria	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Nitrospinia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Nitrospiria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Oligoflexia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Oligosphaeria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Opitutia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Phycisphaerae	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Planctomycetia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Rhodothermia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Rubrobacteria	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Saprospiria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Spartobacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Sphingobacteriia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Spirochaetia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Synergistia	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Syntrophia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Syntrophobacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Tardisphaeria	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Tepidiformia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Terriglobia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Terrimicrobiia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Thermoanaerobaculia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Thermococci	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Thermodesulfobacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Thermodesulfobiia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Thermodesulfovibrionia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Thermoflexia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermoleophilia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermomicrobia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Thermoplasmata	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Thermoprotei	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Thermosulfidibacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Thermotogae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Tichowtungiia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Tissierellia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Verrucomicrobiia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Vicinamibacteria	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
