Study,Condition,Reaction,GPR,Flux,Median_Log_TPM,aceK_Median_Log_TPM
Carbon_Study,m9-EX_cit_e:7.44,ICL,PP_4116,0.528409835633487,[6.708782093],4.885804541
Carbon_Study,m9-EX_cit_e:7.44,ICDHyr,PP_4012 or PP_4011,6.91159016436651,"[9.096585586, 8.745738402]",4.885804541
Carbon_Study,m9-EX_cit_e:7.44,FUM,PP_0944 or PP_1755 or PP_0897,7.35113024725338,"[7.829039128, 6.407380276, 1.804847743]",4.885804541
Carbon_Study,m9-EX_cit_e:7.44,CS,PP_4194,0,[9.20714713],4.885804541
Carbon_Study,m9-EX_cit_e:7.44,SUCOAS,PP_4186 and PP_4185,-6.09528871334158,"[10.47119029, 9.710927633]",4.885804541
Carbon_Study,m9-EX_fer_e:2.91,ICL,PP_4116,1.05787594156559,[8.445618747],3.518591443
Carbon_Study,m9-EX_fer_e:2.91,ICDHyr,PP_4012 or PP_4011,2.45510348291954,"[7.201913793, 7.965851524]",3.518591443
Carbon_Study,m9-EX_fer_e:2.91,FUM,PP_0944 or PP_1755 or PP_0897,6.36363710534253,"[7.495085682, 4.432155005, 1.465648139]",3.518591443
Carbon_Study,m9-EX_fer_e:2.91,CS,PP_4194,3.51297942448513,[8.889906773],3.518591443
Carbon_Study,m9-EX_fer_e:2.91,SUCOAS,PP_4186 and PP_4185,-1.910022398229,"[9.057693437, 8.766640221]",3.518591443
Carbon_Study,m9-EX_glc_e:7.44,ICL,PP_4116,1.70138913824588,[4.882864841],2.712496146
Carbon_Study,m9-EX_glc_e:7.44,ICDHyr,PP_4012 or PP_4011,2.64484255400556,"[5.937359216, 9.2600245895]",2.712496146
Carbon_Study,m9-EX_glc_e:7.44,FUM,PP_0944 or PP_1755 or PP_0897,4.23070451663961,"[8.3900191665, 4.415952093, 1.6318857195]",2.712496146
Carbon_Study,m9-EX_glc_e:7.44,CS,PP_4194,4.34623169225144,[9.218044989],2.712496146
Carbon_Study,m9-EX_glc_e:7.44,SUCOAS,PP_4186 and PP_4185,-1.58368284364088,"[10.34572489, 9.974665924]",2.712496146
Carbon_Study,m9-EX_ser__L_e:14.88,ICL,PP_4116,3.37901669843691,[5.151535584],4.902919885
Carbon_Study,m9-EX_ser__L_e:14.88,ICDHyr,PP_4012 or PP_4011,3.19077796844136,"[8.107086566, 7.125920524]",4.902919885
Carbon_Study,m9-EX_ser__L_e:14.88,FUM,PP_0944 or PP_1755 or PP_0897,6.47567180926395,"[6.410574609, 5.407781195, 2.084743184]",4.902919885
Carbon_Study,m9-EX_ser__L_e:14.88,CS,PP_4194,6.56979466687827,[7.761600001],4.902919885
Carbon_Study,m9-EX_ser__L_e:14.88,SUCOAS,PP_4186 and PP_4185,-2.32622481204555,"[7.952506649, 7.91955356]",4.902919885
Aromatics_Study,m9-EX_T4hcinnm_e:4.04,ICL,PP_4116,0.835553975894568,[8.016917914],4.316813536
Aromatics_Study,m9-EX_T4hcinnm_e:4.04,ICDHyr,PP_4012 or PP_4011,4.87399726414771,"[8.196931468, 6.7712443]",4.316813536
Aromatics_Study,m9-EX_T4hcinnm_e:4.04,FUM,PP_0944 or PP_1755 or PP_0897,9.67663397037576,"[7.052754513, 5.784760595, 1.414056017]",4.316813536
Aromatics_Study,m9-EX_T4hcinnm_e:4.04,CS,PP_4194,5.70955124004228,[8.26401298],4.316813536
Aromatics_Study,m9-EX_T4hcinnm_e:4.04,SUCOAS,PP_4186 and PP_4185,-4.20422525292922,"[9.145051107, 8.662981481]",4.316813536
Aromatics_Study,m9-EX_T4hcinnm_e:2.02-EX_fer_e:1.4505,ICL,PP_4116,0.958196812907858,[7.54290989],4.411489944
Aromatics_Study,m9-EX_T4hcinnm_e:2.02-EX_fer_e:1.4505,ICDHyr,PP_4012 or PP_4011,3.63038867668002,"[7.597998371, 6.381492637]",4.411489944
Aromatics_Study,m9-EX_T4hcinnm_e:2.02-EX_fer_e:1.4505,FUM,PP_0944 or PP_1755 or PP_0897,7.99285127674253,"[6.42169205, 5.267741746, 1.946894817]",4.411489944
Aromatics_Study,m9-EX_T4hcinnm_e:2.02-EX_fer_e:1.4505,CS,PP_4194,4.58858548958787,[7.968954076],4.411489944
Aromatics_Study,m9-EX_T4hcinnm_e:2.02-EX_fer_e:1.4505,SUCOAS,PP_4186 and PP_4185,-3.02200300684154,"[8.485267581, 7.933256864]",4.411489944
Aromatics_Study,m9-EX_fer_e:2.91,ICL,PP_4116,1.05787594156559,[7.408094528],5.239635075
Aromatics_Study,m9-EX_fer_e:2.91,ICDHyr,PP_4012 or PP_4011,2.45510348291954,"[8.878977103, 6.224009721]",5.239635075
Aromatics_Study,m9-EX_fer_e:2.91,FUM,PP_0944 or PP_1755 or PP_0897,6.3636371053425,"[5.912710611, 6.328128388, 1.551009966]",5.239635075
Aromatics_Study,m9-EX_fer_e:2.91,CS,PP_4194,3.51297942448513,[7.120291615],5.239635075
Aromatics_Study,m9-EX_fer_e:2.91,SUCOAS,PP_4186 and PP_4185,-1.910022398229,"[8.364938135, 7.466283579]",5.239635075
Aromatics_Study,m9-EX_glc_e:7.44,ICL,PP_4116,1.7020057039594,[4.353038762],3.804311162
Aromatics_Study,m9-EX_glc_e:7.44,ICDHyr,PP_4012 or PP_4011,2.64441670681655,"[8.05809293, 6.587334918]",3.804311162
Aromatics_Study,m9-EX_glc_e:7.44,FUM,PP_0944 or PP_1755 or PP_0897,4.23089732683461,"[6.827396106, 5.789093812, 1.501653377]",3.804311162
Aromatics_Study,m9-EX_glc_e:7.44,CS,PP_4194,4.34642241077595,[6.594274676],3.804311162
Aromatics_Study,m9-EX_glc_e:7.44,SUCOAS,PP_4186 and PP_4185,-1.58327620921679,"[8.756777515, 8.150235954]",3.804311162
Muconate_Study,m9-EX_glc_e:7.44,ICL,PP_4116,1.7020057039594,[4.683807192],2.761369505
Muconate_Study,m9-EX_glc_e:7.44,ICDHyr,PP_4012 or PP_4011,2.64441670681655,"[6.121021307, 7.346816791]",2.761369505
Muconate_Study,m9-EX_glc_e:7.44,FUM,PP_0944 or PP_1755 or PP_0897,4.23089732683462,"[7.450474898, 4.546857424, 1.285437328]",2.761369505
