genome_id,kingdom,specie,protein,mono_score,dimer_score,class,genome_predominant_architecture_type
GCA_000005825.2,Bacillati,Alkalihalophilus pseudofirmus,CP001878.2_2870136_2871221,,250.5,dimeric,predominantly_dimeric
GCA_000005825.2,Bacillati,Alkalihalophilus pseudofirmus,CP001878.2_2944858_2946126,,597.5,dimeric,predominantly_dimeric
GCA_000005825.2,Bacillati,Alkalihalophilus pseudofirmus,CP001878.2_659533_660594,,213.9,dimeric,predominantly_dimeric
GCA_000006725.1,Pseudomonadati,Xylella fastidiosa,AE003849.1_2248375_2249448,,215.3,dimeric,predominantly_dimeric
GCA_000006725.1,Pseudomonadati,Xylella fastidiosa,AE003849.1_2476491_2477498,,381.4,dimeric,predominantly_dimeric
GCA_000006725.1,Pseudomonadati,Xylella fastidiosa,AE003849.1_2579537_2581768,1247.5,,monomeric,predominantly_dimeric
GCA_000006745.1,Pseudomonadati,Vibrio cholerae,AE003852.1_1209652_1211877,1348.0,,monomeric,ambiguous
GCA_000006745.1,Pseudomonadati,Vibrio cholerae,AE003852.1_2671838_2672929,,244.7,dimeric,ambiguous
GCA_000006765.1,Pseudomonadati,Pseudomonas aeruginosa,AE004091.2_2965546_2966802,,598.0,dimeric,predominantly_dimeric
GCA_000006765.1,Pseudomonadati,Pseudomonas aeruginosa,AE004091.2_2967161_2969386,1294.5,,monomeric,predominantly_dimeric
GCA_000006765.1,Pseudomonadati,Pseudomonas aeruginosa,AE004091.2_3500668_3501750,,242.9,dimeric,predominantly_dimeric
GCA_000006825.1,Pseudomonadati,Pasteurella multocida,AE004439.1_1817479_1818726,,562.3,dimeric,predominantly_dimeric
GCA_000006825.1,Pseudomonadati,Pasteurella multocida,AE004439.1_2200386_2201465,,236.2,dimeric,predominantly_dimeric
GCA_000006905.1,Pseudomonadati,Caulobacter vibrioides,AE005673.1_206989_208041,,219.0,dimeric,predominantly_dimeric
GCA_000006905.1,Pseudomonadati,Caulobacter vibrioides,AE005673.1_2727940_2729151,,432.9,dimeric,predominantly_dimeric
GCA_000006965.1,Pseudomonadati,Sinorhizobium meliloti,AL591688.1_1937089_1938303,,435.8,dimeric,predominantly_dimeric
GCA_000006965.1,Pseudomonadati,Sinorhizobium meliloti,AL591688.1_3611782_3612894,,208.1,dimeric,predominantly_dimeric
GCA_000006965.1,Pseudomonadati,Sinorhizobium meliloti,AE006469.1_1046610_1047653,,224.3,dimeric,predominantly_dimeric
GCA_000006985.1,Pseudomonadati,Chlorobaculum tepidum,AE006470.1_366383_368608,1305.9,,monomeric,ambiguous
GCA_000006985.1,Pseudomonadati,Chlorobaculum tepidum,AE006470.1_616537_617592,,248.7,dimeric,ambiguous
GCA_000007005.1,Thermoproteati,Saccharolobus solfataricus,AE006641.1_2007309_2008547,,481.1,dimeric,predominantly_dimeric
GCA_000007005.1,Thermoproteati,Saccharolobus solfataricus,AE006641.1_616781_617791,,295.5,dimeric,predominantly_dimeric
GCA_000007045.1,Bacillati,Streptococcus pneumoniae,AE007317.1_1137655_1138692,,248.1,dimeric,predominantly_dimeric
GCA_000007085.1,Bacillati,Caldanaerobacter subterraneus,AE008691.1_410034_411245,,420.0,dimeric,predominantly_dimeric
GCA_000007085.1,Bacillati,Caldanaerobacter subterraneus,AE008691.1_22099_23166,,248.4,dimeric,predominantly_dimeric
GCA_000007105.1,Pseudomonadati,Zymomonas mobilis,AE008692.2_669245_670294,,252.7,dimeric,predominantly_dimeric
GCA_000007105.1,Pseudomonadati,Zymomonas mobilis,AE008692.2_536038_537300,,534.2,dimeric,predominantly_dimeric
GCA_000007145.1,Pseudomonadati,Xanthomonas campestris,AE008922.1_3957055_3958128,,236.7,dimeric,predominantly_dimeric
GCA_000007145.1,Pseudomonadati,Xanthomonas campestris,AE008922.1_4496010_4498241,1319.0,,monomeric,predominantly_dimeric
GCA_000007145.1,Pseudomonadati,Xanthomonas campestris,AE008922.1_1125859_1126866,,382.5,dimeric,predominantly_dimeric
GCA_000007185.1,Methanobacteriati,Methanopyrus kandleri,AE009439.1_743656_744663,,311.4,dimeric,predominantly_dimeric
GCA_000007185.1,Methanobacteriati,Methanopyrus kandleri,AE009439.1_1204838_1205845,,333.1,dimeric,predominantly_dimeric
GCA_000007225.1,Thermoproteati,Pyrobaculum aerophilum,AE009441.1_966720_968039,,469.3,dimeric,predominantly_dimeric
GCA_000007225.1,Thermoproteati,Pyrobaculum aerophilum,AE009441.1_1173680_1174552,,251.2,dimeric,predominantly_dimeric
GCA_000007305.1,Methanobacteriati,Pyrococcus furiosus,AE009950.1_904320_905387,,299.9,dimeric,predominantly_dimeric
GCA_000007305.1,Methanobacteriati,Pyrococcus furiosus,AE009950.1_216620_217822,,490.0,dimeric,predominantly_dimeric
GCA_000007345.1,Methanobacteriati,Methanosarcina acetivorans,AE010299.1_5187268_5188296,,292.6,dimeric,predominantly_dimeric
GCA_000007345.1,Methanobacteriati,Methanosarcina acetivorans,AE010299.1_4623061_4624056,,283.4,dimeric,predominantly_dimeric
GCA_000007345.1,Methanobacteriati,Methanosarcina acetivorans,AE010299.1_240902_242029,,271.1,dimeric,predominantly_dimeric
GCA_000007385.1,Pseudomonadati,Xanthomonas oryzae,AE013598.1_1042850_1043857,,381.3,dimeric,predominantly_dimeric
GCA_000007385.1,Pseudomonadati,Xanthomonas oryzae,AE013598.1_4442650_4444881,1319.4,,monomeric,predominantly_dimeric
GCA_000007385.1,Pseudomonadati,Xanthomonas oryzae,AE013598.1_968362_969435,,233.9,dimeric,predominantly_dimeric
GCA_000007465.2,Bacillati,Streptococcus mutans,AE014133.2_1310903_1311937,,251.1,dimeric,predominantly_dimeric
GCA_000007465.2,Bacillati,Streptococcus mutans,AE014133.2_634632_635813,,529.6,dimeric,predominantly_dimeric
GCA_000007525.1,Bacillati,Bifidobacterium longum,AE014295.3_443356_444576,,418.2,dimeric,predominantly_dimeric
GCA_000007525.1,Bacillati,Bifidobacterium longum,AE014295.3_1102815_1103846,,237.6,dimeric,predominantly_dimeric
GCA_000007565.2,Pseudomonadati,Pseudomonas putida,AE015451.2_4520481_4521737,,585.3,dimeric,predominantly_dimeric
GCA_000007565.2,Pseudomonadati,Pseudomonas putida,AE015451.2_4522152_4524377,1323.0,,monomeric,predominantly_dimeric
GCA_000007565.2,Pseudomonadati,Pseudomonas putida,AE015451.2_2253682_2254764,,239.0,dimeric,predominantly_dimeric
GCA_000007665.1,Bacillati,Leifsonia xyli,AE016822.1_2008100_2009314,,426.4,dimeric,predominantly_dimeric
GCA_000007665.1,Bacillati,Leifsonia xyli,AE016822.1_1365378_1366451,,238.4,dimeric,predominantly_dimeric
GCA_000007705.1,Pseudomonadati,Chromobacterium violaceum,AE016825.1_3965151_3967388,1298.2,,monomeric,ambiguous
GCA_000007705.1,Pseudomonadati,Chromobacterium violaceum,AE016825.1_3014383_3015447,,244.1,dimeric,ambiguous
GCA_000007725.1,Pseudomonadati,Buchnera aphidicola,AE016826.1_558228_559328,,207.5,dimeric,predominantly_dimeric
GCA_000007745.1,Pseudomonadati,[Mannheimia] succiniciproducens,AE016827.1_559933_561009,,256.3,dimeric,predominantly_dimeric
GCA_000007745.1,Pseudomonadati,[Mannheimia] succiniciproducens,AE016827.1_2297146_2298393,,563.3,dimeric,predominantly_dimeric
GCA_000007745.1,Pseudomonadati,[Mannheimia] succiniciproducens,AE016827.1_1089875_1090945,,226.5,dimeric,predominantly_dimeric
GCA_000007765.2,Pseudomonadati,Coxiella burnetii,AE016828.3_1143148_1144431,,601.2,dimeric,predominantly_dimeric
GCA_000007805.1,Pseudomonadati,Pseudomonas syringae group genomosp. 3,AE016853.1_3793079_3795310,1326.4,,monomeric,predominantly_dimeric
GCA_000007805.1,Pseudomonadati,Pseudomonas syringae group genomosp. 3,AE016853.1_3598222_3599412,,247.7,dimeric,predominantly_dimeric
GCA_000007805.1,Pseudomonadati,Pseudomonas syringae group genomosp. 3,AE016853.1_2958422_2959516,,244.0,dimeric,predominantly_dimeric
GCA_000007805.1,Pseudomonadati,Pseudomonas syringae group genomosp. 3,AE016853.1_2394942_2396024,,234.1,dimeric,predominantly_dimeric
GCA_000007825.1,Bacillati,Bacillus cereus,AE016877.1_1364522_1365586,,225.2,dimeric,predominantly_dimeric
GCA_000007825.1,Bacillati,Bacillus cereus,AE016877.1_4539019_4540311,,599.9,dimeric,predominantly_dimeric
GCA_000007865.1,Bacillati,Mycobacterium avium,AE016958.1_3372693_3373703,,229.0,dimeric,predominantly_dimeric
GCA_000007865.1,Bacillati,Mycobacterium avium,AE016958.1_3834914_3836152,,423.8,dimeric,predominantly_dimeric
GCA_000007865.1,Bacillati,Mycobacterium avium,AE016958.1_3836154_3838391,1244.7,,monomeric,predominantly_dimeric
GCA_000007905.1,Pseudomonadati,Helicobacter hepaticus,AE017125.1_1101727_1102800,,231.8,dimeric,ambiguous
GCA_000007905.1,Pseudomonadati,Helicobacter hepaticus,AE017125.1_1162683_1164887,1087.9,,monomeric,ambiguous
GCA_000007925.1,Bacillati,Prochlorococcus marinus,AE017126.1_785650_786738,,228.0,dimeric,predominantly_dimeric
GCA_000007925.1,Bacillati,Prochlorococcus marinus,AE017126.1_1603833_1605257,,523.0,dimeric,predominantly_dimeric
GCA_000007985.2,Pseudomonadati,Geobacter sulfurreducens,AE017180.2_1606535_1608757,1320.0,,monomeric,ambiguous
GCA_000007985.2,Pseudomonadati,Geobacter sulfurreducens,AE017180.2_3154497_3155585,,237.5,dimeric,ambiguous
GCA_000008045.1,Pseudomonadati,Rickettsia typhi,AE017197.1_325036_326487,,445.6,dimeric,predominantly_dimeric
GCA_000008125.1,Thermotogati,Thermus thermophilus,AE017221.1_1139593_1141083,,427.8,dimeric,predominantly_dimeric
GCA_000008125.1,Thermotogati,Thermus thermophilus,AE017221.1_843190_844227,,221.5,dimeric,predominantly_dimeric
GCA_000008125.1,Thermotogati,Thermus thermophilus,AE017221.1_990630_991634,,324.9,dimeric,predominantly_dimeric
GCA_000008265.1,Methanobacteriati,Picrophilus oshimae,AE017261.1_454540_455607,,113.6,dimeric,predominantly_dimeric
GCA_000008265.1,Methanobacteriati,Picrophilus oshimae,AE017261.1_926616_927623,,194.4,dimeric,predominantly_dimeric
GCA_000008265.1,Methanobacteriati,Picrophilus oshimae,AE017261.1_195400_196578,,465.6,dimeric,predominantly_dimeric
GCA_000008325.1,Pseudomonadati,Methylococcus capsulatus,AE017282.2_2219854_2220936,,236.6,dimeric,predominantly_dimeric
GCA_000008325.1,Pseudomonadati,Methylococcus capsulatus,AE017282.2_3255041_3256063,,418.8,dimeric,predominantly_dimeric
GCA_000008385.1,Pseudomonadati,Wolbachia endosymbiont of Brugia malayi,AE017321.1_465918_467345,,439.3,dimeric,predominantly_dimeric
GCA_000008445.1,Bacillati,Bacillus anthracis,AE017334.2_4400152_4401444,,599.9,dimeric,predominantly_dimeric
GCA_000008445.1,Bacillati,Bacillus anthracis,AE017334.2_1345268_1346332,,219.6,dimeric,predominantly_dimeric
GCA_000008465.1,Pseudomonadati,Idiomarina loihiensis,AE017340.1_1544190_1546415,1315.2,,monomeric,ambiguous
GCA_000008465.1,Pseudomonadati,Idiomarina loihiensis,AE017340.1_918675_919679,,394.1,dimeric,ambiguous
GCA_000008485.1,Pseudomonadati,Legionella pneumophila,AE017354.1_3030713_3032560,,238.7,dimeric,predominantly_dimeric
GCA_000008485.1,Pseudomonadati,Legionella pneumophila,AE017354.1_893896_895152,,585.6,dimeric,predominantly_dimeric
GCA_000008525.1,Pseudomonadati,Helicobacter pylori,AE000511.1_27557_28834,,573.1,dimeric,predominantly_dimeric
GCA_000008545.1,Thermotogati,Thermotoga maritima,AE000512.1_1161250_1162449,,388.4,dimeric,predominantly_dimeric
GCA_000008545.1,Thermotogati,Thermotoga maritima,AE000512.1_584443_585507,,237.5,dimeric,predominantly_dimeric
GCA_000008565.1,Thermotogati,Deinococcus radiodurans,AE000513.1_1556777_1558027,,593.4,dimeric,predominantly_dimeric
GCA_000008565.1,Thermotogati,Deinococcus radiodurans,AE000513.1_1699678_1700679,,281.4,dimeric,predominantly_dimeric
GCA_000008565.1,Thermotogati,Deinococcus radiodurans,AE000513.1_1813277_1814335,,210.7,dimeric,predominantly_dimeric
GCA_000008625.1,Pseudomonadati,Aquifex aeolicus,AE000657.1_1076238_1077518,,437.8,dimeric,predominantly_dimeric
GCA_000008625.1,Pseudomonadati,Aquifex aeolicus,AE000657.1_155054_156148,,277.4,dimeric,predominantly_dimeric
GCA_000008645.1,Methanobacteriati,Methanothermobacter thermautotrophicus,AE000666.1_130396_131391,,347.7,dimeric,predominantly_dimeric
GCA_000008645.1,Methanobacteriati,Methanothermobacter thermautotrophicus,AE000666.1_1255675_1256655,,322.2,dimeric,predominantly_dimeric
GCA_000008765.1,Bacillati,Clostridium acetobutylicum,AE001437.1_3306701_3307774,,251.1,dimeric,predominantly_dimeric
GCA_000008765.1,Bacillati,Clostridium acetobutylicum,AE001437.1_1119416_1120420,,436.5,dimeric,predominantly_dimeric
